#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Backfield,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
84,"2510 UAB O vs North Texas, Play 087",,4,2,10,'+48,2,,,11,5,5,P,L,11,GF,DUO Y OFF,,,,,,,OFF,SPACING,COMPLETE,,,DB,MAN,,4 DWN,,,,0,ALBI 11,ALBI 07,11,17,00; 06; 12,0,11,P,,L,,5,0,0,,,,,0,0,0,0,1,ALBI 11,ALBI 07,11,00; 06; 12,17,WIDE UNDER,2x2,0,P,ALBI 11,0,COVER 1
85,"2510 UAB O vs North Texas, Play 088",,4,3,5,'+43,3,,,11,6,0,P,L,11,GN,DOUBLES,STK,H RETURN,,,,,OPEN,OPTION H,INTERCEPTION,,,DB,MAN,,4 DWN,,,,0,,ALBI 07,11,17,00; 06; 12,0,11,P,,L,5,0,0,0,,,,,0,0,0,0,1,,ALBI 07,11,00; 06; 12,17,EVEN,2x2,0,P,ALBI 12,0,COVER 6
86,"2511 UAB O vs USF, Play 001",,1,0,10,'-23,P,,,1,1,2,R,RM,11,GN,DUO Y OFF,SNUG,Z BNC,,,,,OFF,,,IZ,WK,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 07,4,85,00; 06; 08,0,11,R,,R,65,2,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 07,04,00; 06; 08,85,WIDE OVER,2x2,1,,,0,COVER 3 SEAM
87,"2511 UAB O vs USF, Play 002",,1,2,8,'-25,2,,,1,2,5,P,R,12,GF,KING U OFF,,Z MTR,,,,X,SLOT,,COMPLETE,,,RPO,ZONE,,4 DWN,,,,0,ALBI 00,ALBI 07,4,17; 85,00; 08,1,12,P,,R,2,5,0,1,,INSIDE ZONE,,,0,0,1,0,0,ALBI 00,ALBI 07,04,00; 08,17; 85,WIDE OVER,1x3,1,R,ALBI 00,0,COVER 3
88,"2511 UAB O vs USF, Play 004",,1,1,10,'-35,1,,,1,4,0,P,L,12,DOT,ACE YU OFF,,,,,,,OFF,COMEBACK X,HIT AS THREW,,,PA,FS RT,,4 DWN,,,,0,,ALBI 07,11,17; 85,00; 12,0,12,P,,L,,0,0,0,,MAN,FLSO D04 RPS,,0,0,0,0,0,,ALBI 07,11,00; 12,17; 85,WIDE OVER,2x2,0,,,0,COVER 3 SEAM
89,"2511 UAB O vs USF, Play 005",,1,1,10,'+50,1,,,1,5,'-4,P,L,11,GF,TRIPS,,,,,,,ON,VERTS RD,SACK,,,PA,MAN,,4 DWN,,,,0,ALBI 07,ALBI 07,11,85,00; 06; 12,0,11,P,,L,,'-4,0,0,,UNDEFINED,,,0,0,0,0,0,ALBI 07,ALBI 07,11,00; 06; 12,85,OVER,3x1,0,P,,0,COVER 3 SEAM
90,"2511 UAB O vs USF, Play 006",,1,2,14,'-46,2,,,1,6,0,P,L,12,GN,KING U OFF,,,,,,,SLOT,GLANCE,INTERCEPTION,,,RPO,ZONE,,4 DWN,,,,0,,ALBI 07,4,17; 85,00; 08,0,12,P,,L,'-4,0,0,1,,INSIDE ZONE,,,0,0,0,0,0,,ALBI 07,04,00; 08,17; 85,WIDE UNDER,3x1,1,P,ALBI 08,0,COVER 6
91,"2511 UAB O vs USF, Play 007",,1,0,10,'+24,P,,RA,2,1,2,R,L,11,GF,DUO Y OFF,,,,,,,OFF,,,Y INSERT,STR,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 07,4,17,00; 06; 08,0,11,R,,L,62,2,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 07,04,00; 06; 08,17,WIDE UNDER,2x2,1,,,0,COVER 1
92,"2511 UAB O vs USF, Play 008",,1,2,8,'+22,2,,RA,2,2,0,P,L,12,DOT,KING U OFF,STK,,,,,X,SLOT,DOUBLE PASS,RUN,,,TRICK,FS LT,,4 DWN,,,,0,ALBI 00,ALBI 07,4,17; 85,00; 06,0,12,P,,L,2,0,0,0,,,,,1,1,0,0,0,ALBI 00,ALBI 07,04,00; 06,17; 85,UNDER,3x1,0,R,,0,COVER 3
93,"2511 UAB O vs USF, Play 009",,1,3,8,'+22,3,,RA,2,3,9,P,R,11,GN,TRIPS,STK,H IN,,,,,ON,CURLS,COMPLETE,,,DB,MAN,,4 DWN,,,,0,ALBI 12,ALBI 07,4,17,00; 06; 12,0,11,P,,R,0,9,0,0,,,,,0,0,0,0,0,ALBI 12,ALBI 07,04,00; 06; 12,17,WIDE OVER,1x3,0,P,ALBI 12,0,COVER 3
94,"2511 UAB O vs USF, Play 010",,1,1,10,'+13,1,,RA,2,4,3,R,L,21,GS,PRO Y OFF,,,,,,,OFF,,,ZONE READ ARC,WK,ZN,,,4 DWN,,,,0,ALBI 04,ALBI 07,03; 04,17,00; 06,0,21,R,,L,9,3,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 04,ALBI 07,03; 04,00; 06,17,OVER,2x1,0,P,,0,COVER 3 SEAM
95,"2511 UAB O vs USF, Play 011",,1,2,7,'+10,2,,RA,2,5,'-2,R,L,21,GS,PRO Y OFF,,,,,,,OFF,,,POWER O RD LD,STR,GAP,,,4 DWN,,,,0,ALBI 04,ALBI 07,03; 04,17,00; 06,1,21,R,,L,3,'-2,0,,,POWER,,,0,0,1,0,0,ALBI 04,ALBI 07,03; 04,00; 06,17,OVER,2x1,0,R,,0,RED ZONE
96,"2511 UAB O vs USF, Play 012",,1,3,9,'+12,3,,RA,2,6,0,P,R,12,GEMP,EMPTY 3x2 U STING,,TOX,TWINS,,,,WING SLOT,UNDER T,INCOMPLETE,,,DB,FS RT,,4 DWN,,,,0,,ALBI 07,11,17; 85,00; 06,0,12,P,,R,'-2,0,0,0,,,,,0,0,0,0,0,,ALBI 07,11,00; 06,17; 85,ODD,2x3,0,R,ALBI 11,1,COVER 0
97,"2511 UAB O vs USF, Play 013",,1,0,10,'-15,P,,,3,1,9,R,L,12,DOT,KING U OFF,STK,,,,,X,SLOT,,,OZ,WK,ZN,,,4 DWN,,,,0,ALBI 03,ALBI 07,3,17; 85,00; 08,0,12,R,,L,28,9,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 03,ALBI 07,03,00; 08,17; 85,WIDE UNDER,3x1,0,,,0,COVER 3 SEAM
98,"2511 UAB O vs USF, Play 015",,1,2,6,'-19,2,,,3,3,16,R,M,11,GF,TRIPS,,,,,,,ON,,,INSIDE ZN SS,WK,ZN,,,4 DWN,,,,0,ALBI 03,ALBI 07,3,85,00; 06; 12,0,11,R,,C,,16,0,,,INSIDE ZONE,,,0,0,0,0,0,ALBI 03,ALBI 07,03,00; 06; 12,85,WIDE OVER,1x3,1,,,1,COVER 3 CLOUD
